ID,Station name,Station installation point
71T,ต.อรัญประเทศ อ.อรัญประเทศ จ.สระแก้ว ,สวนกาญจนาภิเษก ร.9 (ฝั่งสวนหิน)
72T(เก่า),ต.นาอาน อ.เมือง จ.เลย,สำนักงานสาธารณสุขจังหวัดเลย
72T(ใหม่),ต.กุดป่อง อ.เมือง จ.เลย,สวนสาธารณะเฉลิมพระเกียรติ 60 พรรษา มหาราชินี
73T,ต.เวียงพางคำ อ.แม่สาย จ.เชียงราย,สำนักงานสาธารณสุขอำเภอแม่สาย
74T,ต.เนินพระ อ.เมือง จ.ระยอง,ศูนย์ราชการจังหวัดระยอง
75T,ต.ห้วยโก๋น อ.เฉลิมพระเกียรติ จ.น่าน,โรงพยาบาลเฉลิมพระเกียรติ น่าน
76T,ต.แม่ปะ อ.แม่สอด จ.ตาก,ศูนย์การศึกษานอกระบบอำเภอแม่สอด
77T,ต.ท่าตูม อ.ศรีมหาโพธิ จ.ปราจีนบุรี,ศาลาประชาคมบ้านบุยายใบ ปราจีนบุรี
78T,ต.เบตง อ.เบตง จ.ยะลา,ศูนย์พัฒนาเด็กเล็กเทศบาลเมืองเบตง
79T,ต.บ้านเหนือ อ.เมือง จ.กาญจนบุรี,สถานีอุตุนิยมวิทยากาญจนบุรี
80T,ต.พิมาน อ.เมือง. จ.สตูล,ศาลากลางจังหวัดสตูล
81T,ต.นครปฐม อ.เมือง จ.นครปฐม,อ่างเก็บน้ำประปา นครปฐม
82T,ต.มีชัย อ.เมือง จ.หนองคาย,สวนสาธารณะหนองถิ่น
83T,ต.ในเมือง อ.เมือง จ.อุบลราชธานี,ศูนย์แสดงและจำหน่ายสินค้า OTOP จังหวัดอุบลราชธานี
84T,ต.ลาดใหญ่ อ.เมือง จ.สมุทรสงคราม,สำนักงานสาธารณสุขจังหวัดสมุทรสงคราม
85T,ต.ดอนกำยาน อ.เมือง จ.สุพรรณบุรี,สนามกีฬากลางจังหวัดสุพรรณบุรี
86T,ต.ในเมือง อ.เมือง จ.พิษณุโลก,สวนชมน่าน บริเวณหน้าวิทยาลัยอาชีวศึกษาพิษณุโลก
87T,ต.บางพระ อ.เมือง จ.ตราด,สนามกีฬากลาง จังหวัดตราด
88T,ต.ในเมือง อ.เมือง จ.นครพนม,สถานีอุตุนิยมวิทยานครพนม
89T,ต.คลัง อ.เมือง จ.นครศรีธรรมราช,ศูนย์ฟื้นฟูสุขภาพผู้สูงอายุ
90T,ต.ธาตุนาเวง อ.เมือง จ.สกลนคร,สถานีอุตุนิยมวิทยาสกลนคร
91T,ต.หมากแข้ง อ.เมือง จ.อุดรธานี,บริเวณสวนสาธารณะหนองประจักษ์
92T,ต.ท่าอิฐ อ.เมือง จ.อุตรดิตถ์,บริเวณภายในพื้นที่สวนมหามงคลเฉลิมพระเกียรติพระชนมพรรษา 6 รอบ 5 ธันวาคม 2552
93T,ต.นาตาล่วง อ.เมืองตรัง จ.ตรัง,วิทยาลัยสารพัดช่างตรัง
